scenario_id,timestamp,latitude,longitude,speed,bearing,accuracy,distance_to_boundary,bearing_to_boundary,movement_direction_difference,boundary_risk_level,target_risk
A_0,2026-09-11T15:51:07.096112,12.9716,77.5946,1.5,180.0,4.356782605343539,934.0373838142893,0.0,180.0,HIGH,0
A_0,2026-09-11T15:51:12.096112,12.9715,77.5946,1.5,180.0,2.7227782151685975,945.1568764787194,0.0,180.0,HIGH,0
A_0,2026-09-11T15:51:17.096112,12.971400000000001,77.5946,1.5,180.0,8.978306611439507,956.2763691431493,0.0,180.0,HIGH,0
A_0,2026-09-11T15:51:22.096112,12.971300000000001,77.5946,1.5,180.0,2.0563196793914704,967.3958618075791,0.0,180.0,HIGH,0
A_0,2026-09-11T15:51:27.096112,12.971200000000001,77.5946,1.5,180.0,6.140491963478814,978.5153544720091,0.0,180.0,HIGH,0
A_0,2026-09-11T15:51:32.096112,12.971100000000002,77.5946,1.5,180.0,2.4626062035479954,989.634847136439,0.0,180.0,HIGH,0
A_0,2026-09-11T15:51:37.096112,12.971000000000002,77.5946,1.5,180.0,2.0255797163716656,1000.754339800869,0.0,180.0,HIGH,0
A_0,2026-09-11T15:51:42.096112,12.970900000000002,77.5946,1.5,180.0,6.500310824957488,1011.8738324652991,0.0,180.0,HIGH,0
A_0,2026-09-11T15:51:47.096112,12.970800000000002,77.5946,1.5,180.0,7.483133445648096,1022.9933251297289,0.0,180.0,HIGH,0
A_0,2026-09-11T15:51:52.096112,12.970700000000003,77.5946,1.5,180.0,6.914236189949103,1034.112817794159,0.0,180.0,HIGH,0
A_0,2026-09-11T15:51:57.096112,12.970600000000003,77.5946,1.5,180.0,2.352965275248361,1045.232310458589,0.0,180.0,HIGH,0
A_0,2026-09-11T15:52:02.096112,12.970500000000003,77.5946,1.5,180.0,3.1832497499187635,1056.3518031230187,0.0,180.0,HIGH,0
A_0,2026-09-11T15:52:07.096112,12.970400000000003,77.5946,1.5,180.0,2.224724010543487,1067.4712957874488,0.0,180.0,HIGH,0
A_0,2026-09-11T15:52:12.096112,12.970300000000003,77.5946,1.5,180.0,3.813946626642032,1078.5907884518788,0.0,180.0,HIGH,0
A_0,2026-09-11T15:52:17.096112,12.970200000000004,77.5946,1.5,180.0,7.598651280701703,1089.7102811163088,0.0,180.0,HIGH,0
A_0,2026-09-11T15:52:22.096112,12.970100000000004,77.5946,1.5,180.0,8.026881154284276,1100.8297737807388,0.0,180.0,HIGH,0
A_0,2026-09-11T15:52:27.096112,12.970000000000004,77.5946,1.5,180.0,3.453979745957855,1111.9492664451686,0.0,180.0,HIGH,0
A_0,2026-09-11T15:52:32.096112,12.969900000000004,77.5946,1.5,180.0,3.336011764109567,1123.0687591095987,0.0,180.0,HIGH,0
A_0,2026-09-11T15:52:37.096112,12.969800000000005,77.5946,1.5,180.0,2.6159007490957693,1134.1882517740285,0.0,180.0,HIGH,0
A_0,2026-09-11T15:52:42.096112,12.969700000000005,77.5946,1.5,180.0,2.171508989698191,1145.3077444384585,0.0,180.0,HIGH,0
A_1,2026-09-11T15:51:07.097108,12.9716,77.5946,1.5,180.0,3.378564188688115,934.0373838142893,0.0,180.0,HIGH,0
A_1,2026-09-11T15:51:12.097108,12.9715,77.5946,1.5,180.0,6.724664146014747,945.1568764787194,0.0,180.0,HIGH,0
A_1,2026-09-11T15:51:17.097108,12.971400000000001,77.5946,1.5,180.0,2.287544369689498,956.2763691431493,0.0,180.0,HIGH,0
A_1,2026-09-11T15:51:22.097108,12.971300000000001,77.5946,1.5,180.0,8.056830322972615,967.3958618075791,0.0,180.0,HIGH,0
A_1,2026-09-11T15:51:27.097108,12.971200000000001,77.5946,1.5,180.0,4.04506353749683,978.5153544720091,0.0,180.0,HIGH,0
A_1,2026-09-11T15:51:32.097108,12.971100000000002,77.5946,1.5,180.0,4.050020196743577,989.634847136439,0.0,180.0,HIGH,0
A_1,2026-09-11T15:51:37.097108,12.971000000000002,77.5946,1.5,180.0,4.998856043103295,1000.754339800869,0.0,180.0,HIGH,0
A_1,2026-09-11T15:51:42.097108,12.970900000000002,77.5946,1.5,180.0,8.611940851872609,1011.8738324652991,0.0,180.0,HIGH,0
A_1,2026-09-11T15:51:47.097108,12.970800000000002,77.5946,1.5,180.0,2.6515047049845455,1022.9933251297289,0.0,180.0,HIGH,0
A_1,2026-09-11T15:51:52.097108,12.970700000000003,77.5946,1.5,180.0,3.993386367703885,1034.112817794159,0.0,180.0,HIGH,0
A_1,2026-09-11T15:51:57.097108,12.970600000000003,77.5946,1.5,180.0,4.555010152439382,1045.232310458589,0.0,180.0,HIGH,0
A_1,2026-09-11T15:52:02.097108,12.970500000000003,77.5946,1.5,180.0,8.121895851063641,1056.3518031230187,0.0,180.0,HIGH,0
A_1,2026-09-11T15:52:07.097108,12.970400000000003,77.5946,1.5,180.0,8.769796472820161,1067.4712957874488,0.0,180.0,HIGH,0
A_1,2026-09-11T15:52:12.097108,12.970300000000003,77.5946,1.5,180.0,7.162536303286026,1078.5907884518788,0.0,180.0,HIGH,0
A_1,2026-09-11T15:52:17.097108,12.970200000000004,77.5946,1.5,180.0,9.593847672538105,1089.7102811163088,0.0,180.0,HIGH,0
A_1,2026-09-11T15:52:22.097108,12.970100000000004,77.5946,1.5,180.0,4.807404696164692,1100.8297737807388,0.0,180.0,HIGH,0
